,zipcode,latitude,longitude,cluster,x,y
2213,96902,43.6013,-84.7736,18,900319.263959372,2343081.1673086286
2214,23223,44.1527,-94.4933,8,120133.58044954264,2352297.9936529296
2215,37205,40.7255,-73.9983,11,1826605.518311786,2180644.453546443
2216,80246,32.5914,-96.7728,0,-72139.10806921302,1058001.2141668831
2217,77012,32.3834,-86.2434,4,911544.2548284393,1081346.6420847396
2218,96093,29.7149,-95.2819,14,69450.78936056118,738009.3526632232
2219,35161,29.397,-94.9203,14,104821.93884806536,703100.4944315708
2220,32459,31.7594,-89.3082,19,630679.0465215797,987194.0606834685
2221,45505,41.7591,-70.8523,1,2051795.9093247643,2357029.5776925576
2222,94521,30.6582,-96.3351,14,-32040.05715321773,842525.3537242697
2223,02368,34.347,-87.7154,4,755307.9750090642,1286708.090139568
2224,48382,41.1164,-74.5865,11,1768833.4046558961,2212154.0539850933
2225,46256,40.6512,-74.3239,11,1801929.53990514,2166325.5671614246
2226,15681,31.8473,-89.5741,19,604996.4019809078,995232.2749352437
2227,19473,37.3814,-122.1258,5,-2262760.5526902196,1906499.2222695579
2228,02420,32.8632,-97.3377,0,-124441.69877167899,1088904.2692529147
2229,15228,40.5399,-74.5934,11,1782693.1479565282,2149095.250558597
2230,98014,34.5896,-86.9887,4,818802.1716366917,1319742.4035206642
2231,02762,40.1284,-75.0607,11,1754491.753079188,2095439.1362852084
2232,76014,42.1845,-71.3048,1,2003491.8143158173,2393335.8758588713
2233,08012,38.4405,-122.7144,5,-2279474.3272481365,2034711.8012832676
2234,43415,33.3445,-96.5639,0,-52140.35950837999,1141905.4991302532
2235,46228,40.2431,-79.2375,9,1406363.6614495874,2038568.2151307943
2236,45502,42.2148,-71.2104,1,2010102.279960295,2398603.715511104
2237,35477,39.2303,-86.4692,3,813806.0572462506,1841564.326188778
2238,80432,25.7022,-80.2978,12,1584559.8418327142,426259.8562488254
2239,28614,33.6547,-97.1583,0,-106676.59670157863,1177045.1401531084
2240,35179,31.1217,-90.4831,19,524204.5985837722,909221.9842300715
2241,39183,39.2097,-82.2177,10,1175009.5755427284,1883766.5424361418
2242,35444,33.187,-97.781,0,-164998.95096312102,1125712.6694368727
2243,48094,40.7946,-73.403,11,1873282.7992712087,2199759.5770752532
2244,39095,30.1775,-93.8409,14,207634.55395558808,791434.8342708948
2245,08103,42.4563,-71.2167,1,2002640.474950903,2424560.99706734
2246,98033,41.105,-80.6945,9,1269752.0863512394,2113218.7380871247
2247,98361,42.1736,-71.0514,1,2023894.235235265,2397527.571253284
2248,43156,37.9575,-121.975,5,-2232598.900446244,1965088.2084919815
2249,31069,39.9106,-83.7856,10,1032055.1801741057,1943375.6904951206
2250,45365,40.2803,-85.8391,3,854853.4273338796,1964125.7891599096
2251,07087,33.6805,-95.4905,0,46909.18904405094,1179402.8758541157
2252,77066,39.772,-86.1535,3,834389.0190241347,1904694.3359060774
2253,27330,42.0616,-70.8651,1,2041929.3404822778,2389418.3763377005
2254,44105,32.37,-90.1738,19,545040.3943264047,1049732.229284454
2255,22406,42.6797,-71.0114,1,2012356.610945026,2453018.4095613053
2256,77518,42.4426,-71.2265,1,2002261.367112506,2422874.6176799983
2257,15209,40.029,-74.8835,11,1771549.4660177059,2087861.0099162995
2258,02468,40.1386,-75.2022,11,1742577.9926243671,2093951.0047162247
2259,07436,40.5716,-74.3167,11,1804534.3100092192,2157777.452870214
2260,39046,48.5454,-123.0947,17,-1994334.4268921562,3124484.9786544633
2261,55973,33.7751,-89.8087,19,568938.7447162216,1208385.098257007
2262,15212,40.6744,-73.819,11,1842544.74275887,2178536.517230412
2263,99835,29.961,-95.4947,14,48724.9906372843,765176.5654595636
2264,75501,40.5605,-122.4116,5,-2189130.5905965758,2255944.645189017
2265,08742,31.6057,-89.8735,19,578581.3107434227,966521.1296299685
2266,22473,39.6296,-105.2514,6,-785675.9986172003,1883744.7964870967
2267,35073,47.1524,-122.0621,17,-1961905.7214861228,2955268.3781288057
2268,35178,40.1816,-83.5461,10,1048209.122576787,1976105.5532544751
2269,02110,37.2329,-121.7875,5,-2238648.387949281,1882462.6631574244
2270,47933,44.1489,-92.485,8,280224.69743566855,2356104.9467495647
2271,01746,33.125,-90.0557,19,550809.4921629116,1134477.671837672
2272,46131,31.6901,-90.4131,19,527131.3575449077,972761.8851016591
2273,54603,43.9282,-105.5492,6,-762647.9708339274,2364660.9407674023
2274,48048,40.6637,-73.638,11,1857582.188063748,2180894.4811715693
2275,93451,42.1062,-70.6993,1,2053767.5996155136,2397805.1274768347
2276,48213,40.326,-79.8883,9,1350729.8033536256,2038276.4511058591
2277,94087,40.6196,-79.1596,9,1405396.3760954437,2081238.6052866566
2278,19055,32.5927,-86.2153,4,911761.5324717592,1104832.2733330629
2279,95321,32.5437,-85.6871,4,961383.9474376192,1104603.5383118684
2280,75247,47.1291,-122.4094,17,-1988084.9275442867,2960006.436607247
2281,80477,33.0785,-86.5536,4,874964.7925309967,1155577.3202627304
2282,43149,33.2293,-86.5299,4,875478.0334945215,1172545.7742930665
2283,80454,43.4457,-92.761,8,260903.37240589317,2276920.6672595553
2284,65809,48.4786,-122.3345,17,-1941851.5551206472,3101678.2153947665
2285,02539,43.3875,-93.7517,8,181273.76575234963,2268121.306961351
2286,75134,42.3271,-71.2315,1,2005194.227999219,2410291.4840178518
2287,46263,40.7277,-73.7489,11,1846876.2403547238,2185704.446350299
2288,43832,39.4174,-82.5923,10,1140014.9621516601,1902244.0989094307
2289,07677,40.0896,-75.2601,11,1738992.7541370753,2087531.0263993298
2290,33760,40.1132,-75.1869,11,1744457.6595169096,2091453.8289883311
2291,03087,41.9202,-87.7535,3,678331.1992767861,2131434.9000446596
2292,35125,42.4321,-71.455,1,1984507.6848496348,2416947.061491715
2293,07082,40.6466,-74.829,11,1760759.9525050246,2156355.5423419154
2294,47246,42.3535,-71.1329,1,2012230.34467066,2415227.4279702185
2295,33151,40.9048,-74.2168,11,1804223.4250928797,2196019.843201947
2296,15221,38.8076,-104.7403,6,-750857.8995284659,1787898.1329982816
2297,06084,29.5055,-94.9893,14,97995.49373205754,715051.3343945362
2298,94618,31.2668,-85.3971,4,1004144.739188359,966219.1577320427
2299,48336,30.0336,-95.261,14,71197.1474396079,773380.3335691378
2300,11236,33.3072,-87.5859,4,777356.7507278157,1172021.5461432184
2301,75234,39.3039,-85.7714,3,872280.591138648,1855958.899644254
2302,01908,27.9004,-82.7152,12,1308642.6864325672,628582.2628236584
2303,36022,40.2739,-81.594,10,1209776.0017574355,2009535.4080760763
2304,35976,35.0999,-81.7056,7,1287340.1854534133,1434979.1799057198
2305,35072,39.9789,-105.1456,6,-772957.8611647699,1921835.2269423937
2306,80121,39.6842,-83.9369,10,1022551.9326375937,1916577.1848449572
2307,28168,37.7813,-122.4167,5,-2275008.5596061633,1956560.5376948027
2308,16037,29.7179,-95.4263,14,55483.37662199572,738247.1281687336
2309,55940,39.5509,-82.5626,10,1140414.9913197686,1917412.7363015444
2310,97307,32.8152,-96.8703,0,-81011.64712731744,1083043.8062211524
2311,19040,35.9004,-120.5929,5,-2175525.7458107434,1710659.655377582
2312,77575,37.3702,-122.2182,5,-2270901.5285695093,1907495.406781969
2313,39629,40.6287,-74.8855,11,1756580.4053420187,2153354.49249942
2314,95130,32.6446,-89.5494,19,601290.6222251399,1084056.4033988854
2315,39047,41.4543,-70.562,1,2083938.2331518605,2330436.8587848702
2316,29341,43.264,-91.48,8,364986.39418609074,2260869.3127059555
2317,55910,40.5709,-74.2466,11,1810283.904230935,2159034.2965200865
2318,48080,42.6344,-71.2983,1,1991079.3463504252,2442084.3043421907
2319,07450,39.8427,-82.5462,10,1137183.739695295,1949981.95684204
2320,01969,37.6196,-122.4816,5,-2285437.4186399523,1940692.4179012375
2321,46176,39.8634,-105.1724,6,-776463.068272778,1909171.9044941773
2322,47403,36.9835,-78.2372,7,1557219.8437380237,1694863.7052395558
2323,93706,33.7684,-86.8084,4,843998.9537520622,1229944.7293336669
2324,39169,36.0403,-80.1933,7,1404910.0659146316,1560358.7153584552
2325,98057,32.5223,-96.6643,0,-62064.92836794265,1050218.517690821
2326,16066,41.6601,-70.2967,1,2098988.6529598236,2358479.22285164
2327,39666,43.9331,-93.9542,8,163638.9244094255,2328620.092105365
2328,08869,32.8826,-88.8289,19,666329.0528908534,1115345.24399427
2329,55963,41.0647,-74.4359,11,1782362.2944031712,2209326.6047407696
2330,18947,31.4563,-90.4732,19,522980.1935111323,946445.0095340275
2331,23867,35.5188,-81.4589,7,1302239.980952527,1484684.6400781912
2332,54734,34.3449,-86.2752,4,886210.6334795202,1298912.947149732
2333,68137,29.4694,-95.3503,14,63021.69240806504,710744.3015401617
2334,77371,44.4477,-93.4252,8,204389.12216328332,2386992.2575399596
2335,43137,34.1566,-97.1792,0,-107905.44239285508,1233149.0030011234
2336,48042,41.5263,-87.2525,3,723480.1291879019,2091229.6489680216
2337,07733,40.8689,-84.5904,10,951534.8988361716,2041499.3001598488
2338,34788,42.214,-70.9203,1,2033103.4426948766,2404688.4954722812
2339,98325,32.5768,-85.312,4,995792.0907500045,1112135.0305873014
2340,48229,32.5475,-85.4682,4,981660.5291254518,1107262.5865015523
2341,33168,34.4093,-86.4628,4,868451.4361414069,1304344.6547281495
